Comunidades y Ciudades Autónomas;Grupo de edad;Periodo;Total
Murcia, Región de;De 50 a 54 años;2021;67,6
Murcia, Región de;De 55 a 64 años;2023;59,96
Murcia, Región de;De 55 a 64 años;2022;58,44
Murcia, Región de;De 55 a 64 años;2021;57,86
Navarra, Comunidad Foral de;De 20 a 24 años;2023;40,11
Navarra, Comunidad Foral de;De 20 a 24 años;2022;43,36
Navarra, Comunidad Foral de;De 20 a 24 años;2021;42,99
Navarra, Comunidad Foral de;De 25 a 29 años;2023;71,67
Navarra, Comunidad Foral de;De 25 a 29 años;2022;67,74
Navarra, Comunidad Foral de;De 25 a 29 años;2021;65,1
Navarra, Comunidad Foral de;De 30 a 34 años;2023;80,23
Navarra, Comunidad Foral de;De 30 a 34 años;2022;82,92
Navarra, Comunidad Foral de;De 30 a 34 años;2021;79,2
Navarra, Comunidad Foral de;De 35 a 39 años;2023;78,93
Navarra, Comunidad Foral de;De 35 a 39 años;2022;80,8
Navarra, Comunidad Foral de;De 35 a 39 años;2021;77,95
Navarra, Comunidad Foral de;De 40 a 44 años;2023;83,16
Navarra, Comunidad Foral de;De 40 a 44 años;2022;81,59
Navarra, Comunidad Foral de;De 40 a 44 años;2021;79,76
Navarra, Comunidad Foral de;De 45 a 49 años;2023;85,57
Navarra, Comunidad Foral de;De 45 a 49 años;2022;83,44
Navarra, Comunidad Foral de;De 45 a 49 años;2021;83,72
Navarra, Comunidad Foral de;De 50 a 54 años;2023;82,01
Navarra, Comunidad Foral de;De 50 a 54 años;2022;82,72
Navarra, Comunidad Foral de;De 50 a 54 años;2021;82,01
Navarra, Comunidad Foral de;De 55 a 64 años;2023;64,1
Navarra, Comunidad Foral de;De 55 a 64 años;2022;64,46
Navarra, Comunidad Foral de;De 55 a 64 años;2021;61,99
País Vasco;De 20 a 24 años;2023;41,6
País Vasco;De 20 a 24 años;2022;38,97
País Vasco;De 20 a 24 años;2021;36,8
País Vasco;De 25 a 29 años;2023;77,89
País Vasco;De 25 a 29 años;2022;79,33
País Vasco;De 25 a 29 años;2021;74,14
País Vasco;De 30 a 34 años;2023;87,49
País Vasco;De 30 a 34 años;2022;80,81
País Vasco;De 30 a 34 años;2021;80,39
País Vasco;De 35 a 39 años;2023;80,31
País Vasco;De 35 a 39 años;2022;80,53
País Vasco;De 35 a 39 años;2021;80,35
País Vasco;De 40 a 44 años;2023;86,82
País Vasco;De 40 a 44 años;2022;85,47
País Vasco;De 40 a 44 años;2021;84,03
País Vasco;De 45 a 49 años;2023;85,38
País Vasco;De 45 a 49 años;2022;83,22
País Vasco;De 45 a 49 años;2021;81,21
País Vasco;De 50 a 54 años;2023;82,45
País Vasco;De 50 a 54 años;2022;79,4
País Vasco;De 50 a 54 años;2021;78,53
País Vasco;De 55 a 64 años;2023;64,78
País Vasco;De 55 a 64 años;2022;62,19
País Vasco;De 55 a 64 años;2021;60,34
Rioja, La;De 20 a 24 años;2023;37,62
Rioja, La;De 20 a 24 años;2022;39,9
Rioja, La;De 20 a 24 años;2021;40,71
Rioja, La;De 25 a 29 años;2023;75,11
Rioja, La;De 25 a 29 años;2022;70,91
Rioja, La;De 25 a 29 años;2021;72,47
Rioja, La;De 30 a 34 años;2023;81,75
Rioja, La;De 30 a 34 años;2022;78,45
Rioja, La;De 30 a 34 años;2021;78,29
Rioja, La;De 35 a 39 años;2023;82,36
Rioja, La;De 35 a 39 años;2022;84,31
Rioja, La;De 35 a 39 años;2021;82,34
Rioja, La;De 40 a 44 años;2023;84,19
Rioja, La;De 40 a 44 años;2022;87,45
Rioja, La;De 40 a 44 años;2021;84,86
Rioja, La;De 45 a 49 años;2023;84,58
Rioja, La;De 45 a 49 años;2022;85,59
Rioja, La;De 45 a 49 años;2021;82,76
Rioja, La;De 50 a 54 años;2023;81,5
Rioja, La;De 50 a 54 años;2022;83,6
Rioja, La;De 50 a 54 años;2021;83,41
Rioja, La;De 55 a 64 años;2023;66,22
Rioja, La;De 55 a 64 años;2022;64,24
Rioja, La;De 55 a 64 años;2021;60,85
Ceuta;De 20 a 24 años;2023;33,02
Ceuta;De 20 a 24 años;2022;37,33
Ceuta;De 20 a 24 años;2021;14,55
Ceuta;De 25 a 29 años;2023;54,23
Ceuta;De 25 a 29 años;2022;50,88
Ceuta;De 25 a 29 años;2021;34,74
Ceuta;De 30 a 34 años;2023;55,34
Ceuta;De 30 a 34 años;2022;46,35
Ceuta;De 30 a 34 años;2021;59,83
